	Vectorizer	Result	Model	f1-scores	TranningSize
110	Tfidf	0	SVM	0.8712241653418124	0.6
111	Tfidf	1	SVM	0.8755760368663594	0.6
112	Tfidf	0	SVM	0.8698315467075038	0.6
113	Tfidf	1	SVM	0.8644338118022328	0.6
114	Tfidf	0	SVM	0.8790849673202613	0.6
115	Tfidf	1	SVM	0.8892215568862275	0.6
116	Tfidf	0	SVM	0.8498402555910544	0.6
117	Tfidf	1	SVM	0.856269113149847	0.6
118	Tfidf	0	SVM	0.8855421686746987	0.6
119	Tfidf	1	SVM	0.8766233766233766	0.6
120	Count	0	SVM	0.8195991091314032	0.7
121	Count	1	SVM	0.8414872798434442	0.7
122	Count	0	SVM	0.8464566929133858	0.7
123	Count	1	SVM	0.827433628318584	0.7
124	Count	0	SVM	0.8469601677148847	0.7
125	Count	1	SVM	0.8488612836438924	0.7
126	Count	0	SVM	0.8053097345132744	0.7
127	Count	1	SVM	0.8267716535433071	0.7
128	Count	0	SVM	0.8613445378151261	0.7
129	Count	1	SVM	0.8636363636363636	0.7
130	Count	0	SVM	0.8613445378151261	0.7
131	Count	1	SVM	0.8636363636363636	0.7
132	Count	0	SVM	0.8553719008264463	0.7
133	Count	1	SVM	0.8529411764705883	0.7
134	Count	0	SVM	0.8130841121495327	0.7
135	Count	1	SVM	0.849624060150376	0.7
136	Count	0	SVM	0.8333333333333334	0.7
137	Count	1	SVM	0.8414634146341463	0.7
138	Count	0	SVM	0.8401639344262296	0.7
139	Count	1	SVM	0.8347457627118644	0.7
140	NGram	0	SVM	0.797327394209354	0.7
141	NGram	1	SVM	0.8219178082191781	0.7
142	NGram	0	SVM	0.8214285714285714	0.7
143	NGram	1	SVM	0.8026315789473685	0.7
144	NGram	0	SVM	0.7991543340380551	0.7
145	NGram	1	SVM	0.8049281314168378	0.7
146	NGram	0	SVM	0.806941431670282	0.7
147	NGram	1	SVM	0.8216432865731463	0.7
148	NGram	0	SVM	0.8235294117647057	0.7
149	NGram	1	SVM	0.8264462809917354	0.7
150	NGram	0	SVM	0.793859649122807	0.7
151	NGram	1	SVM	0.8134920634920635	0.7
152	NGram	0	SVM	0.7861771058315334	0.7
153	NGram	1	SVM	0.8008048289738432	0.7
154	NGram	0	SVM	0.8274336283185841	0.7
155	NGram	1	SVM	0.8464566929133858	0.7
156	NGram	0	SVM	0.780045351473923	0.7
157	NGram	1	SVM	0.8131021194605009	0.7
158	NGram	0	SVM	0.7864693446088796	0.7
159	NGram	1	SVM	0.7926078028747434	0.7
160	Tfidf	0	SVM	0.8522483940042827	0.7
161	Tfidf	1	SVM	0.8600405679513186	0.7
162	Tfidf	0	SVM	0.8771929824561403	0.7
163	Tfidf	1	SVM	0.8590604026845639	0.7
164	Tfidf	0	SVM	0.893970893970894	0.7
165	Tfidf	1	SVM	0.8935281837160751	0.7
166	Tfidf	0	SVM	0.8464912280701755	0.7
167	Tfidf	1	SVM	0.8611111111111112	0.7
168	Tfidf	0	SVM	0.891170431211499	0.7
169	Tfidf	1	SVM	0.8879492600422833	0.7
170	Tfidf	0	SVM	0.8930817610062892	0.7
171	Tfidf	1	SVM	0.8944099378881988	0.7
172	Tfidf	0	SVM	0.8629856850715746	0.7
173	Tfidf	1	SVM	0.8577494692144373	0.7
174	Tfidf	0	SVM	0.8803611738148984	0.7
175	Tfidf	1	SVM	0.8974854932301741	0.7
176	Tfidf	0	SVM	0.8547008547008548	0.7
177	Tfidf	1	SVM	0.8617886178861789	0.7
178	Tfidf	0	SVM	0.8830645161290323	0.7
179	Tfidf	1	SVM	0.875	0.7
180	Count	0	SVM	0.8384879725085911	0.8
181	Count	1	SVM	0.8653295128939827	0.8
182	Count	0	SVM	0.8760806916426513	0.8
183	Count	1	SVM	0.8532423208191127	0.8
184	Count	0	SVM	0.8282828282828283	0.8
185	Count	1	SVM	0.8513119533527697	0.8
186	Count	0	SVM	0.8206896551724139	0.8
187	Count	1	SVM	0.8514285714285714	0.8
188	Count	0	SVM	0.8544303797468354	0.8
189	Count	1	SVM	0.8580246913580247	0.8
190	Count	0	SVM	0.8615384615384616	0.8
191	Count	1	SVM	0.8571428571428571	0.8
192	Count	0	SVM	0.8588588588588588	0.8
193	Count	1	SVM	0.8469055374592834	0.8
194	Count	0	SVM	0.8421052631578948	0.8
195	Count	1	SVM	0.8732394366197184	0.8
196	Count	0	SVM	0.8359133126934984	0.8
197	Count	1	SVM	0.832807570977918	0.8
198	Count	0	SVM	0.8376623376623378	0.8
199	Count	1	SVM	0.8493975903614457	0.8
200	NGram	0	SVM	0.8160535117056856	0.8
201	NGram	1	SVM	0.8387096774193549	0.8
202	NGram	0	SVM	0.8486646884272998	0.8
203	NGram	1	SVM	0.8316831683168316	0.8
204	NGram	0	SVM	0.8065573770491803	0.8
205	NGram	1	SVM	0.8238805970149254	0.8
206	NGram	0	SVM	0.7832167832167832	0.8
207	NGram	1	SVM	0.824858757062147	0.8
208	NGram	0	SVM	0.8178913738019169	0.8
209	NGram	1	SVM	0.8256880733944955	0.8
210	NGram	0	SVM	0.7947882736156352	0.8
211	NGram	1	SVM	0.810810810810811	0.8
212	NGram	0	SVM	0.8343558282208589	0.8
213	NGram	1	SVM	0.8280254777070063	0.8
